32395|31791|9
32395|31792|9
32395|31793|9
32395|31794|9
32395|31795|9
32394|31795|9
32393|31795|9
32393|31796|9
32392|31796|9
32392|31797|9
32392|31798|9
32391|31798|9
32391|31799|9
32391|31800|9
32391|31799|9
32391|31798|9
32391|31797|9
32392|31797|9
32393|31797|9
32393|31796|9
32393|31795|9
32394|31795|9
32395|31795|9
32396|31795|9
32397|31795|9
32398|31795|9
32398|31796|9
32399|31796|9
32399|31797|9
32399|31798|9
32399|31799|9
32399|31800|9
32399|31801|9
32399|31802|9
32399|31803|9
32400|31803|9
32400|31804|9
32401|31804|9
32401|31805|9
32402|31805|9
32402|31806|9
32402|31807|9
32402|31808|9
32402|31809|9
32401|31809|9
32400|31809|9
32400|31810|9
32399|31810|9
32399|31811|9
32399|31812|9
32398|31812|9
32398|31813|9
32397|31813|9
32396|31813|9
32396|31814|9
32396|31815|9
32395|31815|9
32394|31815|9
32393|31815|9
32392|31815|9
32392|31814|9
32392|31813|9
32392|31812|9
32393|31812|9
32394|31812|9
32395|31812|9
32396|31812|9
32397|31812|9
32398|31812|9
32399|31812|9
32399|31811|9
32399|31810|9
32400|31810|9
32400|31809|9
32401|31809|9
32402|31809|9
32402|31808|9
32403|31808|9
32403|31807|9
32403|31806|9
32403|31805|9
32404|31805|9
32404|31804|9
32404|31803|9
32404|31802|9
32404|31801|9
32404|31800|9
32404|31799|9
32404|31798|9
32404|31797|9
32405|31797|9
32406|31797|9
32406|31796|9
32407|31796|9
32407|31795|9
32408|31795|9
32409|31795|9
32409|31794|9
32409|31793|9
32409|31792|9
32409|31791|9
32409|31790|9
32409|31789|9
32409|31788|9
32409|31787|9
32409|31786|9
32408|31786|9
32407|31786|9
32406|31786|9
32405|31786|9
32404|31786|9
32404|31785|9
32404|31784|9
32404|31783|9
32403|31783|9
32403|31782|9
32402|31782|9
32402|31781|9
32402|31780|9
32402|31779|9
32401|31779|9
32400|31779|9
32400|31778|9
32399|31778|9
32398|31778|9
32398|31777|9
32398|31776|9
32398|31775|9
32397|31775|9
32397|31774|9
32396|31774|9
32397|31774|9
32398|31774|9
32398|31775|9
32399|31775|9
32399|31776|9
32399|31777|9
32399|31778|9
32400|31778|9
32400|31779|9
32401|31779|9
32401|31780|9
32402|31780|9
32402|31781|9
32403|31781|9
32403|31782|9
32403|31783|9
32403|31784|9
32403|31785|9
32403|31786|9
32403|31787|9
32402|31787|9
32402|31788|9
32401|31788|9
32400|31788|9
32399|31788|9
32398|31788|9
32397|31788|9
32396|31788|9
32395|31788|9
32394|31788|9
32394|31789|9
32394|31790|9
32394|31791|9
